market,commodity,segment,band,charge_type,charge_name,uom,value,currency,value_native,uom_native,effective_from,effective_to,version,source_doc,source_page,notes
NI,ELEC,SME,FLAT,NETWORK,NIE DUoS T031 Unit Charge 1,EUR_MWH,53.45400389506244,GBP,4.666,p/kWh,2025-10-01,2026-09-30,1,NIE Networks DUoS,12,"Converted p/kWh -> £/MWh (x10), then £->€ using FX (GBP per EUR=0.87290, EUR per GBP=1.14561)."
NI,ELEC,SME,ALL,NETWORK,NIE DUoS T031 Standing charge (£/quarter) -> €/year,EUR_PER_YEAR,58.38011226944668,GBP,12.74,£/quarter,2025-10-01,2026-09-30,1,NIE Networks DUoS,12,Standing charge converted to €/year using FX. Not an energy €/MWh charge.
NI,ELEC,SME,DAY,NETWORK,NIE DUoS T032 Unit Charge 1,EUR_MWH,61.22121663420782,GBP,5.344,p/kWh,2025-10-01,2026-09-30,1,NIE Networks DUoS,12,Unit Charge 1 mapped to DAY for day/night product. FX as above.
NI,ELEC,SME,NIGHT,NETWORK,NIE DUoS T032 Unit Charge 2 (Economy 7),EUR_MWH,9.68037575896437,GBP,0.845,p/kWh,2025-10-01,2026-09-30,1,NIE Networks DUoS,12,Reduced 7-hour unit charge mapped to NIGHT.
NI,ELEC,SME,PEAK,NETWORK,SONI TUoS Supplier Tariff ST01 (Winter Peak),EUR_MWH,30.725168976973308,GBP,2.682,p/kWh,2025-10-01,2026-09-30,1,SONI TUoS,11,Mapped to PEAK. Seasonal/time-band in source; simplified mapping documented.
NI,ELEC,SME,DAY,NETWORK,SONI TUoS Supplier Tariff ST02 (Outside Peak Weekday),EUR_MWH,20.460533852674992,GBP,1.786,p/kWh,2025-10-01,2026-09-30,1,SONI TUoS,11,Mapped to DAY.
NI,ELEC,SME,NIGHT,NETWORK,SONI TUoS Supplier Tariff ST04 (All other times),EUR_MWH,2.3943177912704776,GBP,0.209,p/kWh,2025-10-01,2026-09-30,1,SONI TUoS,11,Mapped to NIGHT.
NI,ELEC,SME,OFFPEAK,NETWORK,SONI TUoS Supplier Tariff ST04 (All other times),EUR_MWH,2.3943177912704776,GBP,0.209,p/kWh,2025-10-01,2026-09-30,1,SONI TUoS,11,Mapped to OFFPEAK for peak/offpeak product.
NI,ELEC,SME,ALL,LEVY,SONI System Support Services (SSS) charge,EUR_MWH,32.374842479092685,GBP,2.826,p/kWh,2025-10-01,2026-09-30,1,SONI TUoS,23,Applies per unit sold (p/kWh).
NI,ELEC,SME,ALL,LEVY,SONI CAIRt adjustment (negative),EUR_MWH,-1.0425020048115479,GBP,-0.091,p/kWh,2025-10-01,2026-09-30,1,SONI TUoS,18,Negative adjustment returned to suppliers/customers.
ROI,GAS,SME,FLAT,NETWORK,GNI Distribution (Dx) commodity charge (<=73 MWh),EUR_MWH,2172.625,EUR,217.2625,c/kWh,2025-10-01,2026-09-30,1,GNI Distribution Tariffs (Dx),0,Category <=73 MWh per year (fits SME archetype ~60 MWh).
ROI,GAS,SME,FLAT,NETWORK,GNI Transmission (Tx) exit commodity charge,EUR_MWH,0.353005,EUR,0.353005,EUR/MWh,2025-10-01,2026-09-30,1,GNI Transmission Tariffs (Tx),0,Exit commodity charge (capacity ignored in MVP).
NI,GAS,SME,FLAT,NETWORK,"firmus conveyance commodity (P1 <= 2,500 therms)",EUR_MWH,23.14125329361897,GBP,2.02,p/kWh,2026-01-01,2026-12-31,1,firmus conveyance statement 2026,1,Mapped to SME gas archetype. Uses FX from uploaded FX.pdf (GBP per EUR).
